date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2013-04-16|1.607093|1.604054|0.003038|227|148
2013-04-17|1.585248|1.807933|-0.222686|646|600
2013-04-18|1.530416|1.811365|-0.280949|529|491
2013-04-19|1.634017|1.815668|-0.181651|356|277
2013-04-20|1.578784|2.136|-0.557216|74|30
2013-04-21|1.590986|1.756977|-0.165991|71|43
2013-04-22|1.676299|1.776723|-0.100424|308|177
2013-04-23|1.703246|1.840556|-0.137311|1140|791
2013-04-24|1.643772|1.66573|-0.021958|692|452
2013-04-25|1.740456|1.673818|0.066638|285|165
2013-04-26|1.675269|1.709725|-0.034456|353|182
2013-04-27|1.697966|1.882174|-0.184208|59|23
2013-04-28|1.8575|1.50375|0.35375|40|16
2013-04-29|1.637365|1.641723|-0.004358|444|267
2013-04-30|1.732695|1.702197|0.030498|538|305
2013-05-01|1.633374|1.807583|-0.174209|326|211
2013-05-02|1.704042|1.74989|-0.045848|334|181
2013-05-03|1.684521|1.647468|0.037053|334|158
2013-05-04|1.735306|2.09|-0.354694|49|20
2013-05-05|1.302353|1.835714|-0.533361|34|14
2013-05-06|1.65282|1.568368|0.084451|344|190
2013-05-07|1.602435|1.74192|-0.139485|345|250
2013-05-08|1.730679|1.674083|0.056596|383|218
2013-05-09|1.657509|1.696743|-0.039234|265|218
2013-05-10|1.468333|1.843254|-0.374921|186|169
2013-05-11|1.750952|1.8325|-0.081548|21|20
2013-05-12|1.666333|1.46913|0.197203|30|23
2013-05-13|1.675886|1.635851|0.040035|175|94
2013-05-14|1.646226|1.870656|-0.22443|318|259
2013-05-15|1.563433|1.726157|-0.162724|469|458
2013-05-16|1.66941|1.757458|-0.088047|373|236
2013-05-17|1.665391|1.748406|-0.083014|230|138
2013-05-18|1.954839|1.7275|0.227339|31|12
2013-05-19|1.594167|2.100556|-0.506389|24|18
2013-05-20|1.733082|1.863237|-0.130155|292|173
2013-05-21|1.593425|1.697606|-0.10418|362|213
2013-05-22|1.612226|1.730896|-0.118671|337|212
2013-05-23|1.667413|1.799035|-0.131622|375|228
2013-05-24|1.659949|1.780993|-0.121044|197|141
2013-05-25|1.825238|1.325|0.500238|21|10
2013-05-26|1.5644|1.415263|0.149137|25|19
2013-05-27|1.474444|1.208571|0.265873|36|14
2013-05-28|1.691014|1.796595|-0.105581|296|185
2013-05-29|1.711679|1.644786|0.066893|274|140
